name,college_type,college_years,acceptance_rate_pct,sat_25th_percentile,sat_75th_percentile,sat_50th_percentile,act_25th_percentile,act_75th_percentile,act_50th_percentile,graduation_rate_pct,retention_rate_pct,pct_receiving_aid_pct,avg_after_aid_val,avg_after_aid_costs_val,avg_aid_package_val,avg_housing_cost_val,undergrad_students_num,student_faculty_ratio_num,num_majors_num,college_board_code_num,college_score,setting,rd_due_date,test_optional,gpa_optional
Abilene Christian University,,,,,,1115,,,23,,,,,,,,,,,,16,,,Recommended,
Academy of Art University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Neither required nor recommended,
Adams State University,,,,,,1020,,,22,,,,,,,,,,,,15,,,Neither required nor recommended,
Adelphi University,,,,,,1225,,,27,,,,,,,,,,,,19,,,Considered if submitted,
Adler School of Professional Psychology,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Adrian College,,,,,,1100,,,22,,,,,,,,,,,,15,,,Recommended,
Agnes Scott College,,,,,,1250,,,28,,,,,,,,,,,,19,,,Considered if submitted,
Air Force Institute of Technology,,,,,,1300,,,28,,,,,,,,,,,,19,,,No,
Alabama Agricultural and Mechanical University,,,,,,1050,,,21,,,,,,,,,,,,14,,,Required for some,
Alabama State University,,,,,,1000,,,18,,,,,,,,,,,,12,,,Required,
Alaska Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required,
Alaska Pacific University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Neither required nor recommended,
Albany College of Pharmacy,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Albany Law School,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Albany Medical Center,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Albany State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Albertus Magnus College,,,,,,935,,,22,,,,,,,,,,,,15,,,Neither required nor recommended,
Albion College,,,,,,1110,,,24,,,,,,,,,,,,16,,,Considered if submitted,
Albright College,,,,,,1090,,,22,,,,,,,,,,,,15,,,Considered if submitted,
Alcorn State University,,,,,,1000,,,17,,,,,,,,,,,,12,,,Required,
Alderson Broaddus College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Alfred Adler Graduate School,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Alfred University,,,,,,1195,,,28,,,,,,,,,,,,19,,,Considered if submitted,
Alice Lloyd College,,,,,,1040,,,18,,,,,,,,,,,,13,,,Considered if submitted,
Allegheny College,,,,,,1260,,,27,,,,,,,,,,,,19,,,Considered if submitted,
Allen University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Recommended,
Alma College,,,,,,1094,,,22,,,,,,,,,,,,15,,,Required for some,
Alvernia University,,,,,,1182,,,23,,,,,,,,,,,,16,,,Recommended,
Alverno College,,,,,,1100,,,18,,,,,,,,,,,,15,,,Required,
Ambassador University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Amber University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
American Academy of Nutrition,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
American Business & Technology University,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
American Conservatory of Music,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
American Conservatory Theater,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
American Film Institute Center for Advanced Film and Television Studies,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
American Indian College,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
American InterContinental University - Atlanta,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
American InterContinental University - Ft. Lauderdale,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
American InterContinental University - Georgia,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
American InterContinental University Online,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
American International College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Considered if submitted,
American Jewish University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
American Military University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
American Public University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
American University,,,,,,1365,,,30,,,,,,,,,,,,21,,,Considered if submitted,
American World University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
American-European School of Management,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Amherst College,,,,,,1530,,,34,,,,,,,,,,,,24,,,Considered if submitted,
Anderson College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Anderson University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Andon College - Modesto,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Andon College - Stockton,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Andrew Jackson University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Andrews University,,,,,,1200,,,23,,,,,,,,,,,,17,,,Recommended,
Angelo State University,,,,,,1030,,,21,,,,,,,,,,,,14,,,Recommended,
Anna Maria College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required for some,
Antioch New England Graduate School,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Antioch College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Considered if submitted,
Antioch University Los Angeles,,,,,,1150,,,24,,,,,,,,,,,,16,,,Not available,
Antioch University Santa Barbara,,,,,,1200,,,25,,,,,,,,,,,,17,,,Not available,
Antioch University Seattle,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Appalachian Bible College,,,,,,1015,,,24,,,,,,,,,,,,16,,,Required,
Appalachian State University,,,,,,1205,,,24,,,,,,,,,,,,17,,,Required for some,
Aquinas College,,,,,,1025,,,23,,,,,,,,,,,,16,,,Considered if submitted,
Arcadia University,,,,,,1168,,,28,,,,,,,,,,,,19,,,Recommended,
Argosy University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Argosy University - Hawaii,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Arizona Christian University,,,,,,1125,,,21,,,,,,,,,,,,15,,,Required,
Arizona State University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Considered if submitted,
"Arizona State University, Downtown Phoenix Campus",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
"Arizona State University, Polytechnic Campus",,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
"Arizona State University, Tempe Campus",,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
"Arizona State University, West Campus",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Arkansas State University,,,,,,1095,,,21,,,,,,,,,,,,14,,,Required,
Arkansas State University: Beebe,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Arkansas State University: Mountain Home,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Arkansas State University: Newport,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Arkansas Tech University,,,,,,956,,,20,,,,,,,,,,,,14,,,Required for some,
Arlington Baptist University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Not available,
Armstrong Atlantic State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Armstrong University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Art Academy of Cincinnati,,,,,,1150,,,18,,,,,,,,,,,,16,,,Considered if submitted,
Art Center College of Design,,,,,,1400,,,32,,,,,,,,,,,,22,,,Neither required nor recommended,
Art Institute of Charlotte,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Art Institute of Southern California,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Arthur D. Little Management Education Institute,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Asbury College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Ashland University,,,,,,1165,,,23,,,,,,,,,,,,16,,,Recommended,
Assumption University,,,,,,1180,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Athenaeum of Ohio,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Athens State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Not available,
Atlanta Christian College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Atlanta College of Art,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Atlantic International University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Atlantic Union College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Atlantic University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Auburn University,,,,,,1230,,,27,,,,,,,,,,,,19,,,Yes,
Auburn University at Montgomery,,,,,,1112,,,21,,,,,,,,,,,,15,,,Recommended,
Audrey Cohen College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Augsburg College,,,,,,1150,,,25,,,,,,,,,,,,17,,,Yes,
Augusta State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Augustana College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Augustana College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Aurora University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Austin College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Austin Community College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Austin Peay State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Ave Maria University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Averett College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
