name,college_type,college_years,acceptance_rate_pct,sat_25th_percentile,sat_75th_percentile,sat_50th_percentile,act_25th_percentile,act_75th_percentile,act_50th_percentile,graduation_rate_pct,retention_rate_pct,pct_receiving_aid_pct,avg_after_aid_val,avg_after_aid_costs_val,avg_aid_package_val,avg_housing_cost_val,undergrad_students_num,student_faculty_ratio_num,num_majors_num,college_board_code_num,college_score,setting,rd_due_date,test_optional,gpa_optional
Abilene Christian University,Private,4,0.66,1000,1230,1115,19,27,23,0.6,0.8,0.84,28,28311,40885,13600,3129,13.0,88,6001,49,Urban,February 15,Recommended,Required
Academy of Art University,Private,4,1.0,,,1100,,,25,0.37,1.0,0.52,37,36591,10880,37196,3605,14.0,39,,21,Urban,Not available,Neither required nor recommended,Neither required nor recommended
Adams State University,Public,4,0.99,935,1105,1020,17,26,22,0.27,0.54,0.76,14,13800,14054,10750,1307,13.0,34,,29,Rural,Not available,Neither required nor recommended,Required
Adelphi University,Private,4,0.66,1120,1330,1225,24,30,27,0.69,0.82,0.65,29,28671,40711,21385,5276,11.0,108,2003,55,Suburban,Not available,Considered if submitted,Recommended
Adler School of Professional Psychology,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,30000,20000,12000,1000,,,,52,Urban,2024-01-15,Yes,
Adrian College,Private,4,0.73,,,1100,18,26,22,0.53,0.65,0.7,22,22053,20000,15893,1604,15.0,86,1001,42,Urban,Not available,Recommended,Required
Agnes Scott College,Private,4,0.62,1160,1340,1250,25,31,28,0.71,0.81,0.84,26,25609,43834,13905,832,10.0,41,5002,54,Urban,May 1,Considered if submitted,Required
Air Force Institute of Technology,Public,,0.3,,,1300,,,28,0.85,0.9,0.6,8000,20000,8000,12000,1500,,,,64,Urban,2024-01-15,No,
Alabama Agricultural and Mechanical University,Public,4,0.68,,,1050,,,21,0.29,0.59,0.6,14,14064,8000,5190,6000,19.0,48,,21,Suburban,Not available,Required for some,Required
Alabama State University,Public,4,0.99,,,1000,16,20,18,0.3,0.7,0.6,14,13504,8000,7382,3603,14.0,47,1006,30,Urban,Not available,Required,Required
Alaska Bible College,Private,4,0.7,,,1100,,,25,1.0,0.25,0.8,15,14844,15000,7000,300,3.0,2,,22,Suburban,Not available,Required,Not available
Alaska Pacific University,Private,4,0.99,,,1150,,,24,0.41,0.82,0.7,24,23667,15000,8932,500,8.0,22,,19,Urban,Not available,Neither required nor recommended,Required
Albany College of Pharmacy,Private,,0.4,,,1300,,,28,0.85,0.8,0.7,20000,40000,20000,15000,1000,,,,59,Urban,2024-01-01,Yes,
Albany Law School,Private,,0.4,,,1400,,,32,0.85,0.9,0.75,20000,60000,20000,15000,800,,,,63,Urban,2024-04-01,Yes,
Albany Medical Center,Private,,0.3,,,1300,,,28,0.85,0.9,0.7,20000,50000,20000,15000,3000,,,,65,Urban,2024-01-15,Yes,
Albany State University,Public,4,0.6,,,1100,,,25,0.29,0.7,0.6,14,13775,8000,11336,6000,20.0,47,5004,13,Urban,Not available,Not available,Considered but not required
Albertus Magnus College,Private,4,0.59,810,1060,935,21,24,22,0.46,0.67,0.79,30,30179,34194,16258,991,17.0,46,3001,44,Suburban,August 20,Neither required nor recommended,Recommended
Albion College,Private,4,0.57,990,1230,1110,19,29,24,0.57,0.71,0.79,18,18470,57177,13180,1300,11.0,72,1007,50,Rural,February 15,Considered if submitted,Recommended
Albright College,Private,4,0.82,990,1190,1090,19,25,22,0.42,0.73,0.8,22,22116,20000,15176,1530,9.0,61,2004,40,Urban,December 15,Considered if submitted,Required
Alcorn State University,Public,4,0.38,,,1000,15,19,17,0.45,0.76,0.95,13,13155,8139,11060,2363,16.0,37,,49,Rural,Not available,Required,Required
Alderson Broaddus College,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,30000,15000,12000,1000,,,,46,Rural,2024-01-15,Yes,
Alfred Adler Graduate School,Private,,0.5,,,1100,,,25,0.7,0.8,0.8,20000,20000,20000,12000,500,,,,51,Urban,Rolling,Yes,
Alfred University,Private,4,0.48,1110,1280,1195,24,32,28,0.56,0.72,0.76,26,26127,38342,16130,1420,8.0,55,2005,56,Rural,August 1,Considered if submitted,Required
Alice Lloyd College,Private,4,0.36,850,1230,1040,16,21,18,0.26,0.57,0.7,18,18066,10000,8906,600,14.0,18,1098,45,Rural,Not available,Considered if submitted,Required
Allegheny College,Private,4,0.55,1165,1355,1260,24,30,27,0.67,0.78,0.7,28,27929,53304,15330,1156,8.0,33,2006,55,Suburban,February 15,Considered if submitted,Required
Allen University,Private,4,0.43,,,1100,,,25,0.13,0.58,0.7,11,11058,20000,4506,800,15.0,13,,27,Urban,Not available,Recommended,Required
Alma College,Private,4,0.57,1000,1188,1094,18,25,22,0.64,0.85,0.74,25,24862,44012,14748,1148,9.0,52,1010,51,Rural,January 15,Required for some,Required
Alvernia University,Private,4,0.58,1103,1260,1182,23,23,23,0.58,0.72,0.81,26,26166,35859,15850,2152,14.0,57,2431,50,Suburban,Not available,Recommended,Required
Alverno College,Private,4,0.86,,,1100,16,20,18,0.52,0.61,0.73,18,17884,29906,11150,631,13.0,73,1012,34,Urban,Not available,Required,Required
Ambassador University,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,1000,,,,46,Rural,Rolling,Yes,
Amber University,Public,,0.5,,,1200,,,25,0.65,0.75,0.6,8000,36000,8000,13000,8000,,,,54,Suburban,2024-01-15,Yes,
American Academy of Nutrition,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,1000,,,,52,Urban,2024-01-15,Yes,
American Business & Technology University,Private For-Profit,,0.7,,,1000,,,20,0.6,0.7,0.6,10000,15000,10000,12000,800,,,,39,Urban,Rolling,Yes,
American Conservatory of Music,Private,,0.5,,,1200,,,25,0.75,0.85,0.7,20000,30000,20000,12000,1000,,,,53,Urban,2024-01-15,Yes,
American Conservatory Theater,Private,,0.3,,,1300,,,28,0.85,0.9,0.7,20000,40000,20000,15000,500,,,,63,Urban,2024-01-01,Yes,
American Film Institute Center for Advanced Film and Television Studies,Private,,0.2,,,1350,,,30,0.85,0.9,0.8,20000,50000,20000,12000,3000,,,,69,Urban,2024-01-15,Yes,
American Indian College,Private For-Profit,,0.7,,,1000,,,20,0.5,0.7,0.6,8000,12000,8000,12000,300,,,,37,Urban,Rolling,Yes,
American InterContinental University - Atlanta,Private For-Profit,,0.7,,,1050,,,21,0.6,0.7,0.7,10000,20000,10000,12000,5000,,,,44,Urban,Rolling,Yes,
American InterContinental University - Ft. Lauderdale,Private For-Profit,,0.7,,,1000,,,20,0.6,0.7,0.7,10000,20000,10000,12000,5000,,,,43,Urban,Rolling,Yes,
American InterContinental University - Georgia,Private For-Profit,,0.7,,,1000,,,20,0.5,0.7,0.6,10000,20000,10000,12000,5000,,,,41,Suburban,Rolling,Yes,
American InterContinental University Online,Private For-Profit,,0.7,,,1000,,,20,0.5,0.7,0.7,15000,20000,15000,12000,10000,,,,42,Suburban,Rolling,Yes,
American International College,Private,4,0.58,,,1100,,,24,0.42,0.63,1.0,21,42,27360,17430,1143,17.0,55,3002,28,Urban,Not available,Considered if submitted,Required
American Jewish University,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,35000,20000,12000,700,,,,51,Suburban,2024-01-15,Yes,
American Military University,Private For-Profit,,0.7,,,1100,,,24,0.5,0.7,0.6,8000,6000,8000,12000,20000,,,,45,Rural,Rolling,Yes,
American Public University,Private For-Profit,,0.7,,,1100,,,25,0.5,0.7,0.6,8000,12000,8000,12000,30000,,,,45,Suburban,Rolling,Yes,
American University,Private,4,0.62,1300,1430,1365,29,32,30,0.78,0.88,0.46,40,40189,47908,18370,7266,10.0,121,5007,61,Suburban,January 15,Considered if submitted,Required
American World University,Private For-Profit,,0.7,,,1100,,,25,0.5,0.7,0.6,8000,15000,8000,12000,5000,,,,45,Urban,Rolling,Yes,
American-European School of Management,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,25000,20000,12000,5000,,,,55,Urban,2024-01-15,Yes,
Amherst College,Private,4,0.09,1500,1560,1530,33,35,34,0.93,0.97,0.57,18,17965,69507,19260,1914,6.0,39,3003,84,Suburban,January 6,Considered if submitted,Required
Anderson College,Private,,0.6,,,1100,,,25,0.65,0.75,0.7,15000,20000,15000,12000,1500,,,,48,Suburban,2024-01-15,Yes,
Anderson University,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,30000,20000,12000,1500,,,,50,Suburban,2024-01-15,Yes,
Andon College - Modesto,Private For-Profit,,0.7,,,1100,,,25,0.6,0.7,0.6,8000,15000,8000,12000,1000,,,,43,Urban,Rolling,Yes,
Andon College - Stockton,Private For-Profit,,0.7,,,1100,,,25,0.6,0.75,0.6,8000,15000,8000,12000,1000,,,,44,Urban,Rolling,Yes,
Andrew Jackson University,Private For-Profit,,0.7,,,1100,,,25,0.6,0.7,0.6,8000,15000,8000,12000,1000,,,,43,Urban,Rolling,Yes,
Andrews University,Private,4,0.09,1080,1320,1200,20,26,23,0.66,0.83,0.36,25,24874,33155,11154,993,10.0,118,1030,70,Rural,May 15,Recommended,Required
Angelo State University,Public,4,0.83,910,1150,1030,18,24,21,0.41,0.68,0.68,13,12518,12892,10820,5770,19.0,63,6644,38,Suburban,Not available,Recommended,Considered but not required
Anna Maria College,Private,4,0.82,,,1100,,,25,0.4,0.65,0.8,29,28732,20000,15312,1126,12.0,47,3005,22,Suburban,Not available,Required for some,Required
Antioch New England Graduate School,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,25000,20000,12000,800,,,,51,Rural,2024-01-15,Yes,
Antioch College,Private,4,0.89,,,1150,,,24,0.26,0.72,0.95,11,10979,36025,7640,121,6.0,12,1017,19,Rural,August 1,Considered if submitted,Required
Antioch University Los Angeles,Private,4,0.5,,,1150,,,24,0.6,0.75,0.7,20000,25000,20000,12000,1000,2.0,8,,5,Urban,Not available,Not available,Not available
Antioch University Santa Barbara,Private,4,0.6,,,1200,,,25,0.7,0.75,0.8,20000,25000,20000,12000,500,6.0,7,,5,Urban,Not available,Not available,Not available
Antioch University Seattle,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,20000,20000,12000,1000,,,,52,Urban,2024-01-15,Yes,
Appalachian Bible College,Private,4,0.99,920,1110,1015,21,26,24,0.7,0.66,0.92,19,70,7,7,2,7.0,2,7305,38,70%,Not available,Required,Recommended
Appalachian State University,Public,4,0.9,1140,1270,1205,21,27,24,0.73,0.84,0.43,15,14712,10203,12258,19444,16.0,117,5010,46,Rural,January 1,Required for some,Required
Aquinas College,Private,4,0.91,920,1130,1025,20,26,23,0.62,0.78,0.69,20,19890,38725,12498,1014,11.0,96,,40,Suburban,November 1,Considered if submitted,Required
Arcadia University,Private,4,0.8,1070,1265,1168,26,30,28,0.64,0.79,0.7,27,26994,20000,14870,1948,10.0,80,2039,48,Suburban,December 15,Recommended,Required
Argosy University,Private For-Profit,,0.7,,,1100,,,25,0.6,0.7,0.8,20000,20000,20000,12000,5000,,,,46,Urban,Rolling,Yes,
Argosy University - Hawaii,Private For-Profit,,0.7,,,1100,,,25,0.6,0.7,0.8,15000,20000,15000,12000,1500,,,,44,Urban,Rolling,Yes,
Arizona Christian University,Private,4,0.74,1050,1200,1125,17,25,21,0.41,0.55,0.7,32,41,18,12704,751,18.0,29,,37,Urban,Not available,Required,Required
Arizona State University,Public,4,0.9,,,1200,,,25,0.68,0.86,0.5,16,16401,17539,17539,50,18.0,319,4007,24,"$16,401",Not available,Considered if submitted,Required
"Arizona State University, Downtown Phoenix Campus",Public,,0.85,,,1150,,,24,0.7,0.8,0.75,12000,30000,12000,15000,10000,,,,44,Urban,2024-05-01,Yes,
"Arizona State University, Polytechnic Campus",Public,,0.65,,,1200,,,25,0.65,0.8,0.65,8000,30500,8000,13000,8000,,,,50,Suburban,2024-01-01,Yes,
"Arizona State University, Tempe Campus",Public,,0.85,,,1300,,,28,0.68,0.85,0.65,8000,30000,8000,12000,50000,,,,46,Suburban,2024-01-01,Yes,
"Arizona State University, West Campus",Public,,0.65,,,1150,,,24,0.58,0.75,0.65,8000,30000,8000,12000,6000,,,,48,Urban,2024-01-01,Yes,
Arkansas State University,Public,4,0.8,1010,1180,1095,18,24,21,0.53,0.78,0.62,13,13002,5598,11550,9110,17.0,138,,43,Suburban,March 30,Required,Required
Arkansas State University: Beebe,Public,2,0.7,,,1050,,,21,0.5,0.62,0.6,9,8996,7000,6550,2367,15.0,37,,11,Suburban,Not available,Not available,Not available
Arkansas State University: Mountain Home,Public,2,0.7,,,1050,,,21,0.55,0.63,0.6,10,9661,7000,12000,1500,14.0,40,,9,Suburban,Not available,Not available,Not available
Arkansas State University: Newport,Public,2,0.7,,,1050,,,21,0.5,0.55,0.6,9,8563,8000,12000,1308,11.0,35,,10,Rural,Not available,Not available,Not available
Arkansas Tech University,Public,4,0.96,900,1012,956,17,23,20,0.43,0.74,0.64,11,11443,12443,10338,5388,17.0,131,,35,Rural,Not available,Required for some,Required
Arlington Baptist University,Private,4,0.7,,,1100,,,24,0.05,0.33,0.8,27,26503,15000,9166,500,18.0,5,,6,Urban,Not available,Not available,Not available
Armstrong Atlantic State University,Public,,0.6,,,1100,,,25,0.5,0.7,0.6,8000,24000,8000,12000,6000,,,,48,Urban,2024-01-01,Yes,
Armstrong University,Public,,0.5,,,1150,,,24,0.6,0.75,0.65,8000,20000,8000,12000,7000,,,,52,Urban,2024-01-01,Yes,
Art Academy of Cincinnati,Private,4,0.34,,,1150,12,24,18,0.44,0.64,0.7,29,28899,20000,2985,206,9.0,10,1002,49,Urban,May 1,Considered if submitted,Considered but not required
Art Center College of Design,Private,4,0.76,,,1400,,,32,0.83,0.86,0.8,53,83,9,15000,2019,9.0,13,4009,34,Suburban,September 14,Neither required nor recommended,Recommended
Art Institute of Charlotte,Private For-Profit,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,1500,,,,47,Urban,Rolling,Yes,
Art Institute of Southern California,Private For-Profit,,0.7,,,1100,,,24,0.6,0.75,0.7,15000,20000,15000,12000,1500,,,,43,Urban,Rolling,Yes,
Arthur D. Little Management Education Institute,Private,,0.3,,,1300,,,28,0.85,0.9,0.7,20000,40000,20000,15000,1500,,,,64,Urban,2024-01-15,Yes,
Asbury College,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,15000,32000,15000,12000,1200,,,,50,Rural,2024-01-15,Yes,
Ashland University,Private,4,0.81,1050,1280,1165,20,26,23,0.61,0.73,0.52,22,21971,27843,13580,726,15.0,109,,41,Rural,Not available,Recommended,Required
Assumption University,Private,4,0.83,1110,1250,1180,23,28,26,0.75,0.84,0.69,29,29072,45310,16344,1670,11.0,49,3009,48,Suburban,April 1,Considered if submitted,Required
Athenaeum of Ohio,Private,,0.5,,,1200,,,25,0.75,0.85,0.7,20000,20000,20000,12000,500,,,,52,Urban,2024-01-15,Yes,
Athens State University,Public,4,0.7,,,1100,,,24,0.5,0.7,0.6,8000,20000,8000,8613,2446,14.0,62,706,5,Suburban,Not available,Not available,Not available
Atlanta Christian College,Private,,0.6,,,1100,,,25,0.7,0.75,0.7,15000,20000,15000,12000,800,,,,48,Suburban,2024-01-15,Yes,
Atlanta College of Art,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,25000,20000,12000,1000,,,,52,Urban,2024-01-15,Yes,
Atlantic International University,Private For-Profit,,0.7,,,1100,,,24,0.6,0.7,0.7,10000,20000,10000,12000,1000,,,,42,Urban,Rolling,Yes,
Atlantic Union College,Private,,0.6,,,1150,,,24,0.7,0.75,0.8,20000,20000,20000,12000,800,,,,47,Suburban,2024-01-15,Yes,
